Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
acc_raw at iteration 399360 is 1.00
acc_raw at iteration 401920 is 0.62
acc_raw at iteration 404480 is 0.33
acc_raw at iteration 407040 is 0.16
acc_raw at iteration 409600 is 0.78
acc_raw at iteration 412160 is 0.47
acc_raw at iteration 414720 is 0.25
acc_raw at iteration 417280 is 0.73
acc_raw at iteration 419840 is 0.58
acc_raw at iteration 422400 is 0.67
acc_raw at iteration 424960 is 0.12
acc_raw at iteration 427520 is 0.50
acc_raw at iteration 430080 is 0.73
acc_raw at iteration 432640 is 0.94
acc_raw at iteration 435200 is 0.31
acc_raw at iteration 437760 is 0.73
acc_raw at iteration 440320 is 0.00
acc_raw at iteration 442880 is 0.88
acc_raw at iteration 445440 is 0.59
acc_raw at iteration 448000 is 0.89
acc_raw at iteration 450560 is 0.56
acc_raw at iteration 453120 is 0.22
acc_raw at iteration 455680 is 0.94
acc_raw at iteration 458240 is 0.92
acc_raw at iteration 460800 is 0.25
acc_raw at iteration 463360 is 0.00
acc_raw at iteration 465920 is 0.28
acc_raw at iteration 468480 is 0.67
acc_raw at iteration 471040 is 0.92
acc_raw at iteration 473600 is 0.03
acc_raw at iteration 476160 is 0.70
acc_raw at iteration 478720 is 0.50
acc_raw at iteration 481280 is 0.64
acc_raw at iteration 483840 is 0.27
acc_raw at iteration 486400 is 0.55
acc_raw at iteration 488960 is 0.88
acc_raw at iteration 491520 is 0.88
acc_raw at iteration 494080 is 0.64
acc_raw at iteration 496640 is 0.83
acc_raw at iteration 499200 is 0.27
acc_raw at iteration 501760 is 0.27
acc_raw at iteration 504320 is 0.47
acc_raw at iteration 506880 is 0.66
acc_raw at iteration 509440 is 0.73
acc_raw at iteration 512000 is 0.14
acc_raw at iteration 514560 is 0.45
acc_raw at iteration 517120 is 0.33
acc_raw at iteration 519680 is 0.80
acc_raw at iteration 522240 is 0.59
acc_raw at iteration 524800 is 0.59
acc_raw at iteration 527360 is 0.36
acc_raw at iteration 529920 is 0.09
acc_raw at iteration 532480 is 0.52
acc_raw at iteration 535040 is 0.67
acc_raw at iteration 537600 is 0.02
acc_raw at iteration 540160 is 0.48
acc_raw at iteration 542720 is 0.80
acc_raw at iteration 545280 is 0.31
acc_raw at iteration 547840 is 0.48
acc_raw at iteration 550400 is 0.77
acc_raw at iteration 552960 is 0.25
acc_raw at iteration 555520 is 0.25
acc_raw at iteration 558080 is 0.86
acc_raw at iteration 560640 is 0.66
acc_raw at iteration 563200 is 0.58
acc_raw at iteration 565760 is 0.19
acc_raw at iteration 568320 is 0.66
acc_raw at iteration 570880 is 0.28
acc_raw at iteration 573440 is 0.53
acc_raw at iteration 576000 is 1.00
acc_raw at iteration 578560 is 0.62
acc_raw at iteration 581120 is 0.33
acc_raw at iteration 583680 is 0.17
acc_raw at iteration 586240 is 0.86
acc_raw at iteration 588800 is 0.47
acc_raw at iteration 591360 is 0.28
acc_raw at iteration 593920 is 0.73
acc_raw at iteration 596480 is 0.62
acc_raw at iteration 599040 is 0.83
acc_raw at iteration 601600 is 0.12
acc_raw at iteration 604160 is 0.56
acc_raw at iteration 606720 is 0.73
acc_raw at iteration 609280 is 1.00
acc_raw at iteration 611840 is 0.36
acc_raw at iteration 614400 is 0.73
acc_raw at iteration 616960 is 0.00
acc_raw at iteration 619520 is 0.88
acc_raw at iteration 622080 is 0.62
acc_raw at iteration 624640 is 0.89
acc_raw at iteration 627200 is 0.50
acc_raw at iteration 629760 is 0.30
acc_raw at iteration 632320 is 1.00
acc_raw at iteration 634880 is 0.69
acc_raw at iteration 637440 is 0.19
acc_raw at iteration 640000 is 0.00
acc_raw at iteration 642560 is 0.34
acc_raw at iteration 645120 is 0.67
acc_raw at iteration 647680 is 0.95
acc_raw at iteration 650240 is 0.17
acc_raw at iteration 652800 is 0.80
acc_raw at iteration 655360 is 0.58
acc_raw at iteration 657920 is 0.56
acc_raw at iteration 660480 is 0.27
acc_raw at iteration 663040 is 0.58
acc_raw at iteration 665600 is 0.88
acc_raw at iteration 668160 is 0.88
acc_raw at iteration 670720 is 0.64
acc_raw at iteration 673280 is 0.81
acc_raw at iteration 675840 is 0.20
acc_raw at iteration 678400 is 0.45
acc_raw at iteration 680960 is 0.47
acc_raw at iteration 683520 is 0.66
acc_raw at iteration 686080 is 0.72
